dataset_name	Encoder	validation_type	sample_type	train_shape	test_shape	mean_target_before_sampling_train	mean_target_after_sampling_train	mean_target_test	num_cat_cols	train_score	val_score	test_score	time	features_before_encoding	features_after_encoding	avg_tress_number	train_prop_size
creditcard	CatBoostEncoder	Single	sample_original	85441	170885	0.002387612504535293	0.002387612504535293	0.0014688240629663223	2	0.9993491301565903	0.98068817546402	0.9617841911069227	9.34350872039795	32	32	85	0.75
online_shoppers_intention	CatBoostEncoder	Single	None	246	7398	0.044715447154471545	0.044715447154471545	0.19059205190592052	8	0.9979240543735225	0.9347517730496454	0.6831146335223639	1.1904082298278809	17	17	51	0.05
online_shoppers_intention	CatBoostEncoder	Single	None	493	7398	0.058823529411764705	0.058823529411764705	0.19059205190592052	8	0.9955786138319415	0.9892114695340503	0.8519786025952614	1.322232723236084	17	17	45	0.1
online_shoppers_intention	CatBoostEncoder	Single	None	1233	7398	0.07785888077858881	0.07785888077858881	0.19059205190592052	8	0.9952127797262911	0.9864187421951586	0.838075915424229	1.3741567134857178	17	17	24	0.25
online_shoppers_intention	CatBoostEncoder	Single	None	2466	7398	0.09570154095701541	0.09570154095701541	0.19059205190592052	8	0.9952906216287574	0.9806958225996247	0.8041137239017041	1.4460670948028564	17	17	30	0.5
online_shoppers_intention	CatBoostEncoder	Single	None	3699	7398	0.09921600432549338	0.09921600432549338	0.19059205190592052	8	0.996803821303821	0.9806372206977485	0.8477581048622067	1.6577835083007812	17	17	32	0.75
online_shoppers_intention	CatBoostEncoder	Single	gan	246	7398	0.044715447154471545	0.044715447154471545	0.19059205190592052	8	0.9979240543735225	0.9347517730496454	0.6831146335223639	1.1504604816436768	17	17	51	0.05
online_shoppers_intention	CatBoostEncoder	Single	gan	493	7398	0.058823529411764705	0.058823529411764705	0.19059205190592052	8	0.9955786138319415	0.9892114695340503	0.8519786025952614	1.2463335990905762	17	17	45	0.1
online_shoppers_intention	CatBoostEncoder	Single	gan	1233	7398	0.07785888077858881	0.07785888077858881	0.19059205190592052	8	0.9952127797262911	0.9864187421951586	0.838075915424229	1.3262267112731934	17	17	24	0.25
online_shoppers_intention	CatBoostEncoder	Single	gan	2466	7398	0.09570154095701541	0.09570154095701541	0.19059205190592052	8	0.9952906216287574	0.9806958225996247	0.8041137239017041	1.4220986366271973	17	17	30	0.5
online_shoppers_intention	CatBoostEncoder	Single	gan	3699	7398	0.09921600432549338	0.09921600432549338	0.19059205190592052	8	0.996803821303821	0.9806372206977485	0.8477581048622067	1.585878849029541	17	17	32	0.75
online_shoppers_intention	CatBoostEncoder	Single	sample_original	246	7398	0.044715447154471545	0.044715447154471545	0.19059205190592052	8	0.9979240543735225	0.9347517730496454	0.6831146335223639	1.1504614353179932	17	17	51	0.05
online_shoppers_intention	CatBoostEncoder	Single	sample_original	493	7398	0.058823529411764705	0.058823529411764705	0.19059205190592052	8	0.9955786138319415	0.9892114695340503	0.8519786025952614	1.322230339050293	17	17	45	0.1
online_shoppers_intention	CatBoostEncoder	Single	sample_original	1233	7398	0.07785888077858881	0.07785888077858881	0.19059205190592052	8	0.9952127797262911	0.9864187421951586	0.838075915424229	1.3222322463989258	17	17	24	0.25
online_shoppers_intention	CatBoostEncoder	Single	sample_original	2466	7398	0.09570154095701541	0.09570154095701541	0.19059205190592052	8	0.9952906216287574	0.9806958225996247	0.8041137239017041	1.4101152420043945	17	17	30	0.5
online_shoppers_intention	CatBoostEncoder	Single	sample_original	3699	7398	0.09921600432549338	0.09921600432549338	0.19059205190592052	8	0.996803821303821	0.9806372206977485	0.8477581048622067	1.6897413730621338	17	17	32	0.75
WA_Fn-UseC_-Telco-Customer-Churn	CatBoostEncoder	Single	None	140	4220	0.24285714285714285	0.24285714285714285	0.2682464454976303	17	0.9165536214485794	0.773639455782313	0.7551247047730643	1.7975971698760986	20	20	23	0.05
